"","os","lenguajes","registrado","inscrito","sexo","lon","lat","city"
"330","Ubuntu","R, Python, C++",2016-04-26,2017-06-07,"male",-3.59,37.17,"Granada"
"331","Linux y Windows","R y Python",2017-06-17,2017-06-17,"female",-3.59,37.17,"Granada"
"332","OSx","Java",2017-09-11,2017-09-11,"female",-3.59,37.17,"Granada"
"333","Linux","R",2016-09-05,2017-04-19,"female",-3.71,40.42,"Madrid"
"334","windows, mac","R",2017-11-07,2017-11-07,"X",-3.59,37.17,"Granada"
"335","windows","R",2017-11-06,2017-11-06,"female",-3.59,37.17,"Granada"
"336","WINDOWS","R_Studio, TransCad, TransModeler, Aimsun",2017-09-20,2017-09-20,"male",-3.59,37.17,"Granada"
"337","WINDOWS,LINUX,UNIX","R,PyTHON,SQLSERVER,ORACLE,TERADATA,SAS, CLEMENTINE, ETC...",2017-10-20,2017-11-03,"male",-3.59,37.17,"Granada"
"338","Unix","R, PWC, SAS",2017-11-13,2017-11-13,"male",-3.59,37.17,"Granada"
"339","Windows ","R, python, Spark, H2O",2017-09-24,2017-09-24,"male",-3.71,40.42,"Madrid"
"340","Debian y macOS","C, Python y JavaScript ",2016-09-19,2017-09-12,"male",-3.59,37.17,"Granada"
"341","Windows y MacOS","R y SAS",2017-11-06,2017-11-07,"male",-3.71,40.42,"Madrid"
"342","ubuntu, windows","R, C, C++, Java, Python,",2017-09-28,2017-09-28,"male",-3.59,37.17,"Granada"
"343","Windows","R",2017-10-20,2017-10-21,"male",-3.59,37.17,"Granada"
"344","Linux, Windows","R",2017-08-19,2017-08-19,"male",-3.71,40.42,"Madrid"
"345","Windows","R, Pyhton, SQL, C, Matlab, Tableau",2017-09-15,2017-09-15,"female",2.17,41.4,"Barcelona"
"346","macOS","R",2017-11-13,2017-11-13,"male",-3.59,37.17,"Granada"
"347","Linux, windows10","R",2017-05-18,2017-05-18,"male",-3.71,40.42,"Madrid"
"348","Mac OSX","C/C++, Java, R, Ruby",2016-04-24,2017-06-09,"male",-3.59,37.17,"Granada"
"349","Windows","R, Java, Python, C++",2017-10-09,2017-10-09,"male",-3.59,37.17,"Granada"
"350","windows","R,spss,Stagraphics,Excell",2017-11-03,2017-11-03,"female",-3.59,37.17,"Granada"
"351","Windows","R,
",2017-11-06,2017-11-07,"female",-1.13,37.98,"Murcia"
